meter_urn,status,train_sequences,validation_sequences,test_sequences,train_time_sec,device,missing_before_fill,observed_rows,fit_rows,mlflow_run_id,val.MAE,val.RMSE,val.MAPE,test.MAE,test.RMSE,test.MAPE,chunk,reason
H1.K11,completed,33135,8736,8735,4.721229314804077,cuda,58,52526,33264,122a0239f4ec49a9ba4a63629a2e3378,1274.889404296875,2439.89208984375,19649.314453125,1768.5145263671875,3020.98291015625,6233.140625,full_p_meters_chunk1_seq24_e10_mlflow,
H1.K12,completed,33135,8736,8735,4.3510072231292725,cuda,58,52526,33264,6e42016593c24fa6a18c7329d33034fd,2156.46875,4967.4619140625,63362.5859375,636.40380859375,791.582763671875,63627.30078125,full_p_meters_chunk1_seq24_e10_mlflow,
H1.K14,completed,33134,8736,8735,4.404159784317017,cuda,59,52525,33264,cd6f3ec3d6c545d5a272df89616270e6,7159.66064453125,17972.1796875,208036.796875,5694.21875,11303.669921875,47848.59765625,full_p_meters_chunk1_seq24_e10_mlflow,
H1.K15,completed,33135,8736,8735,4.221271514892578,cuda,58,52526,33264,af162c5701fc471db7a1abfa4cf9259e,1000.033447265625,1955.3876953125,29250.521484375,1059.4503173828125,2323.25146484375,38784.640625,full_p_meters_chunk1_seq24_e10_mlflow,
H1.K16,completed,25286,8736,8735,3.3537967205047607,cuda,7907,44677,33264,c6ffd89862894ac68d851ddc296e7abe,283.6625366210937,528.5557861328125,1446.3614501953125,305.09295654296875,586.1610717773438,9.03659725189209,full_p_meters_chunk1_seq24_e10_mlflow,
H1.W11,completed,33168,8736,8735,4.121371030807495,cuda,1,52583,33264,9c0a00dbcf9747fc99d3cd069162af07,36236.20703125,49181.42578125,114725.84375,34291.87109375,47457.44921875,335839.34375,full_p_meters_chunk1_seq24_e10_mlflow,
H1.W12,completed,33168,8736,8735,4.591065645217896,cuda,1,52583,33264,e42bafa793ee48509053e0da3cb0c584,18181.99609375,37216.70703125,433302.34375,36126.68359375,62024.60546875,713585.5,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z10,completed,33168,8736,8735,4.453323841094971,cuda,1,52583,33264,9c587a005fb44b92a428cae5957fd7c3,556.8510131835938,1377.3751220703125,69.40620422363281,456.8549499511719,997.6812744140624,52.792964935302734,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z11,completed,33168,8736,8735,4.034961938858032,cuda,1,52583,33264,d99c0635cabd4beab853d5778c39ff94,1296.226318359375,2992.53271484375,239.46743774414065,1137.264892578125,2297.48046875,127.32098388671876,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z12,completed,33168,8736,8735,4.191226005554199,cuda,1,52583,33264,923168a3459c412383f4ed60b7089fe7,1303.0615234375,2970.74365234375,233.3492584228516,1135.8992919921875,2297.3984375,127.56356811523438,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z13,completed,33168,8736,8735,4.46224045753479,cuda,1,52583,33264,e84a934e4165458b9f941fb7f1970707,804.3619995117188,1424.3800048828125,8.483983993530273,724.1781616210938,1133.56396484375,31.168291091918945,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z14,completed,33168,8736,8735,3.727983474731445,cuda,1,52583,33264,7fbe61eec297477a975e2caa9ba83a45,653.438720703125,1239.1314697265625,6.923467636108398,543.9555053710938,942.7885131835938,17.32441520690918,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z15,completed,33168,8736,8735,4.0448198318481445,cuda,1,52583,33264,abb7aa71af954753a6fd357809b20f5b,16061.849609375,23242.275390625,84.8830795288086,22497.54296875,31800.15625,137.97142028808594,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z16,completed,33168,8736,8735,4.403501987457275,cuda,1,52583,33264,88e719f56d00430fb332dffdf9399de2,541.1771240234375,1782.303955078125,59.11479568481445,620.7623291015625,1531.2821044921875,38.61867904663086,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z17,completed,33168,8736,8735,4.70871639251709,cuda,1,52583,33264,fb7197dd736b4d23a1051b83f894805d,4664.533203125,8325.212890625,6.882623672485352,3675.930908203125,6202.89208984375,6.480905532836914,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z18,completed,33168,8736,8735,4.088052988052368,cuda,1,52583,33264,80cbad65107f47d99279c914fc6a5079,495.5338745117188,1195.889404296875,67.3268051147461,571.2144165039062,798.6463012695312,636.2728881835938,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z19,completed,33168,8736,8735,3.955787897109986,cuda,1,52583,33264,360ece9bbb2e4781982cb3883e048feb,122.93598175048828,241.61618041992188,7082.18603515625,82.73731994628906,104.33547973632812,8273.732421875,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z20,completed,33168,8736,8735,4.156149387359619,cuda,1,52583,33264,40e820024d37466c8e49dbacf02aedcd,12483.5634765625,24039.986328125,3278.27978515625,23218.583984375,38981.46875,3660.677001953125,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z21,completed,33168,8736,8735,4.79116415977478,cuda,1,52583,33264,daccf0c811924cb3a25c623cd02a8b5d,166.1673583984375,420.1188049316406,690.5887451171875,153.6762237548828,310.8271484375,3009.723876953125,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z22,completed,33168,8736,8735,4.491921424865723,cuda,1,52583,33264,c21317d631804597b79b9bc0a9d24b38,181.01956176757807,429.7418823242188,337.75,131.20101928710938,298.88311767578125,1187.8282470703125,full_p_meters_chunk1_seq24_e10_mlflow,
H1.Z23,completed,33168,8736,8735,4.660377502441406,cuda,1,52583,33264,bc2da413e86c49f5a09673f0e5d5dd9d,792.177001953125,2627.8544921875,7738.68408203125,597.1197509765625,1767.214111328125,43830.9375,full_p_meters_chunk2_seq24_e10_mlflow,
H1.Z24,completed,33168,8736,8735,4.27185845375061,cuda,1,52583,33264,3368a4126c8e4215b8719436fdfb5dd3,1236.072021484375,2221.607666015625,73.46600341796875,478.39300537109375,849.4321899414062,138.60794067382812,full_p_meters_chunk2_seq24_e10_mlflow,
H1.Z25,completed,33168,8736,8735,4.372138500213623,cuda,1,52583,33264,818063ef5e244cf0b72906103f144a0d,1147.5045166015625,2090.294677734375,56.11311721801758,381.7628784179688,776.7351684570312,103.23371887207033,full_p_meters_chunk2_seq24_e10_mlflow,
H1.Z26,completed,33168,8736,8735,4.274388551712036,cuda,1,52583,33264,e8be4f33a5424de59f216edbdec993e0,1380.7314453125,3295.078369140625,28.41638565063477,1515.73095703125,3537.995849609375,660.0657958984375,full_p_meters_chunk2_seq24_e10_mlflow,
H1.Z27,completed,33168,8736,8735,4.511797189712524,cuda,1,52583,33264,5778d9e00a0846999b55df67cc569c73,6162.61669921875,13066.8076171875,96.98233795166016,6555.439453125,13784.083984375,665.66845703125,full_p_meters_chunk2_seq24_e10_mlflow,
H1.Z28,completed,33168,8736,8735,4.004328727722168,cuda,1,52583,33264,628f38f29a804c368b919505ef592839,7160.3115234375,10610.9794921875,123.65248107910156,10565.6171875,15048.2666015625,387.987548828125,full_p_meters_chunk2_seq24_e10_mlflow,
H1.Z29,completed,33168,8736,8735,4.780903577804565,cuda,1,52583,33264,bac4a7db37294e9494b995a3df1f5b87,16088.3408203125,26582.63671875,115.90502166748048,25189.603515625,40558.4765625,679.6177368164062,full_p_meters_chunk2_seq24_e10_mlflow,
H1.Z310,completed,11978,8736,8735,1.776226282119751,cuda,21767,30817,33264,759b3478d48e4a8cbf4492203efc098f,5051.5732421875,7273.77099609375,41370.65625,4704.1240234375,6537.27001953125,41930.859375,full_p_meters_chunk2_seq24_e10_mlflow,
H2.K21,completed,33135,8736,8735,4.409394025802612,cuda,58,52526,33264,81a7cafcf91148fda3eaec9357f68c2c,3033.313720703125,6267.82373046875,82983.875,2657.790771484375,5104.6533203125,71858.7734375,full_p_meters_chunk2_seq24_e10_mlflow,
H2.T.Z30,completed,33168,8736,8735,4.457826375961304,cuda,1,52583,33264,08523cb1fac24c2f98c17cd36db99f2d,1648.4425048828125,2586.067138671875,10.783047676086426,1763.3411865234375,2799.573974609375,11.317317008972168,full_p_meters_chunk2_seq24_e10_mlflow,
