,null_count,null_ratio
Igm,728,0.0138442521631644
Ta,725,0.01378720167348103
W_out,690,0.01312161262717505
P3,62,0.0011790434534563088
I3,62,0.0011790434534563088
PF3,62,0.0011790434534563088
PF2,2,3.803365978891319e-05
P2,2,3.803365978891319e-05
I1,2,3.803365978891319e-05
I2,2,3.803365978891319e-05
P1,2,3.803365978891319e-05
U1,2,3.803365978891319e-05
P,2,3.803365978891319e-05
PF1,2,3.803365978891319e-05
PF,2,3.803365978891319e-05
f,2,3.803365978891319e-05
Q,2,3.803365978891319e-05
U3,2,3.803365978891319e-05
U2,2,3.803365978891319e-05
W_in,2,3.803365978891319e-05
meter_urn,0,0.0
W,0,0.0
ts,0,0.0
is_valid,0,0.0
hour,0,0.0
month,0,0.0
hour_sin,0,0.0
hour_cos,0,0.0
month_sin,0,0.0
month_cos,0,0.0
is_weekend,0,0.0
